taz_id,far_prcnt_estimate_q8,far_estimate_count,units_per_acre_q8,units_per_acre_estimate_count
432.0,86.08809999999998,43,37.5,43
433.0,68.60042000000001,622,29.882352800000007,622
434.0,25.507600000000004,29,11.111111,29
435.0,76.5228,470,33.333333,470
436.0,32.7954,1167,14.285714000000002,1167
437.0,28.695999999999998,980,12.5,980
438.0,57.3921,1220,25.0,1220
439.0,32.7954,716,14.285714000000002,716
440.0,94.97825999999996,759,41.372548399999985,759
441.0,459.1368,810,200.0,810
442.0,19.1307,1061,8.333333,1061
443.0,29.444620000000032,903,12.826086800000013,903
444.0,32.7954,1449,14.285714000000002,1449
445.0,37.714800000000025,923,16.428570800000013,923
446.0,158.69370000000004,1025,69.12698400000001,1025
447.0,32.7954,927,14.285714000000002,927
448.0,629.2261000000001,588,274.0909088000001,588
449.0,191.30700000000002,831,83.333333,831
450.0,65.59089999999999,813,28.571428000000004,813
451.0,30.6091,1597,13.333332999999998,1597
452.0,22.3008800000001,964,9.714285400000044,964
453.0,17.6591,1955,7.6923070000000004,1955
454.0,12.753800000000002,1387,5.555555,1387
455.0,12.753800000000002,938,5.555555,938
456.0,114.7842,1248,50.0,1248
457.0,17.6591,1350,7.6923070000000004,1350
458.0,16.3977,1033,7.142857000000001,1033
459.0,22.9568,2010,10.0,2010
460.0,22.9568,588,10.0,588
461.0,20.869799999999998,1398,9.090909,1398
462.0,27.008000000000003,1368,11.764705000000001,1368
463.0,25.507600000000004,967,11.111111,967
464.0,34.96500000000012,1313,15.230769000000052,1313
465.0,22.9568,1514,10.0,1514
466.0,19.1307,1377,8.333333,1377
467.0,57.3921,700,25.0,700
468.0,43.044,961,18.75,961
469.0,229.5684,805,100.0,805
470.0,27.008000000000003,1597,11.764705000000001,1597
471.0,229.5684,816,100.0,816
472.0,306.0912,637,133.333333,637
473.0,86.08809999999998,762,37.5,762
474.0,32.7954,881,14.285714000000002,881
475.0,19.1307,1085,8.333333,1085
476.0,16.3977,1926,7.142857000000001,1926
477.0,57.3921,1805,25.0,1805
478.0,76.5228,471,33.333333,471
479.0,19.1307,1905,8.333333,1905
480.0,16.3977,1113,7.142857000000001,1113
481.0,17.6591,1483,7.692307000000001,1483
482.0,16.3977,1437,7.142857000000001,1437
483.0,153.0456,1203,66.666666,1203
484.0,32.7954,1729,14.285714000000002,1729
485.0,153.0456,1694,66.666666,1694
486.0,27.008000000000003,823,11.764705000000001,823
487.0,153.0456,908,66.666666,908
488.0,38.2614,2074,16.666666,2074
489.0,17.6591,2036,7.6923070000000004,2036
490.0,17.6591,1268,7.6923070000000004,1268
491.0,30.6091,878,13.333332999999998,878
492.0,17.6591,1599,7.692307,1599
493.0,9.9812,1903,4.347826,1903
494.0,9.182699999999999,1946,4.0,1946
495.0,8.1988,1924,3.571428,1924
496.0,6.171840000000011,922,2.688477200000005,922
497.0,9.9812,2130,4.347826,2130
498.0,12.0825,1375,5.263157,1375
499.0,17.6591,2318,7.692307000000001,2318
500.0,17.6591,1252,7.6923070000000004,1252
501.0,16.3977,1358,7.142857000000001,1358
502.0,32.7954,1007,14.285714000000002,1007
503.0,167.25696000000076,1009,72.85714260000032,1009
